"id","user_id","event_id"
19,3,45
147,3,6
150,3,34
151,3,30
152,3,41
218,3,8
221,3,2
223,3,3
225,3,25
226,3,28
235,10,9
236,10,10
247,10,37
249,10,4
250,10,6
251,10,12
252,10,16
253,10,18
254,10,22
255,10,23
256,10,25
257,10,27
258,10,31
259,10,36
260,10,38
261,10,41
262,10,45
264,10,48
304,10,8
305,3,11
317,12,1
318,12,15
319,12,18
320,12,26
323,12,33
324,12,38
325,12,40
326,12,44
327,12,49
329,8,24
330,8,1
331,8,3
332,8,10
333,14,2
334,14,5
335,14,4
336,14,8
337,14,7
338,14,6
339,14,5
340,14,5
341,14,6
342,14,7
343,14,5
346,7,2
347,9,5
349,9,27
351,16,3
352,16,4
353,16,6
354,16,5
355,16,4
356,16,1
357,14,1
358,14,2
359,14,2
360,14,1
466,23,1
474,26,23
475,26,15
476,26,46
477,26,26
566,68,1
567,68,2
570,68,3
571,68,4
573,68,20
584,68,18
585,68,17
586,68,19
587,68,1
588,68,1
589,68,1
590,68,3
591,68,2
592,68,5
593,68,6
594,68,2
595,68,2
596,68,2
597,68,2
